backend_type,concurrency,config_id,engine,evidence_match_rate,generation_contract_valid_rate,gpu_telemetry_scope,grounded_rate,json_valid_rate,mean_e2e_latency_ms,mean_total_tokens_per_second,mean_tpot_ms,mean_ttft_ms,memory_mode,model_alias,model_id,requests_attempted,requests_completed,requests_failed,runtime,safety_violation_count,status,total_cost_usd,total_input_tokens,total_output_tokens
self_hosted_gpu,16,self_hosted_model3_7b_vllm_mm0_no_context_c16,vllm,0.085,0.7975,self_hosted_gpu,0.085,1.0,857.3595064278925,500.73505236134827,38.81287982277874,162.44719036505558,mm0_no_context,model3_7b,Qwen/Qwen2.5-7B-Instruct,400,400,0,vllm,0,COMPLETED,0.0,156544,7539
self_hosted_gpu,32,self_hosted_model3_7b_vllm_mm0_no_context_c32,vllm,0.0925,0.7975,self_hosted_gpu,0.0925,1.0,832.8318113280693,516.7509035645375,41.23192777323912,96.59253479214385,mm0_no_context,model3_7b,Qwen/Qwen2.5-7B-Instruct,400,400,0,vllm,0,COMPLETED,0.0,156544,7480
self_hosted_gpu,16,self_hosted_model3_7b_vllm_mm1_dense_top5_c16,vllm,0.6825,0.7975,self_hosted_gpu,0.68,1.0,1870.0202261429513,504.46588715958006,50.77601934037489,248.43560534936842,mm1_dense_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,400,400,0,vllm,5,COMPLETED,0.0,344463,13806
self_hosted_gpu,32,self_hosted_model3_7b_vllm_mm1_dense_top5_c32,vllm,0.68,0.8,self_hosted_gpu,0.68,1.0,2567.7345044293907,377.81725147301376,62.91049565091079,546.4685479848413,mm1_dense_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,400,400,0,vllm,5,COMPLETED,0.0,344463,13872
self_hosted_gpu,16,self_hosted_model3_7b_vllm_mm2_hybrid_top5_c16,vllm,0.68,0.8,self_hosted_gpu,0.68,1.0,1887.0662881532917,505.5616009933702,50.194063185945254,261.68972580635455,mm2_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,400,400,0,vllm,4,COMPLETED,0.0,344463,13869
self_hosted_gpu,32,self_hosted_model3_7b_vllm_mm2_hybrid_top5_c32,vllm,0.68,0.8,self_hosted_gpu,0.68,1.0,2630.0679203053005,379.51714466290565,64.72261691229286,557.4595360335661,mm2_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,400,400,0,vllm,4,COMPLETED,0.0,344463,13935
self_hosted_gpu,16,self_hosted_model3_7b_vllm_mm3_compressed_hybrid_top5_c16,vllm,0.6725,0.8,self_hosted_gpu,0.6725,1.0,1910.3378190653166,494.35636231061034,51.97119027296962,233.29560223850422,mm3_compressed_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,400,400,0,vllm,4,COMPLETED,0.0,344463,13871
self_hosted_gpu,32,self_hosted_model3_7b_vllm_mm3_compressed_hybrid_top5_c32,vllm,0.675,0.8,self_hosted_gpu,0.675,1.0,2818.318821598077,352.41030486891736,73.84940275920239,481.62538377626333,mm3_compressed_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,400,400,0,vllm,4,COMPLETED,0.0,344463,13844
self_hosted_gpu,16,self_hosted_model3_7b_vllm_mm4_bounded_agentic_c16,vllm,0.7025,0.8,self_hosted_gpu,0.7025,0.9925,1922.6770166005008,516.0161484124802,57.42740721893947,235.27379774022847,mm4_bounded_agentic,model3_7b,Qwen/Qwen2.5-7B-Instruct,400,400,0,vllm,2,COMPLETED,0.0,362463,12268
self_hosted_gpu,32,self_hosted_model3_7b_vllm_mm4_bounded_agentic_c32,vllm,0.7075,0.8,self_hosted_gpu,0.7075,0.995,2801.629527186742,369.6184570658519,77.98696528852184,561.5996635414194,mm4_bounded_agentic,model3_7b,Qwen/Qwen2.5-7B-Instruct,400,400,0,vllm,2,COMPLETED,0.0,362463,12273
