after_evidence_match_rate,after_format_valid_rate,after_generation_contract_valid_rate,after_grounded_rate,after_json_valid_rate,after_mean_e2e_latency_ms,after_safety_violation_count,after_total_cost_usd,before_evidence_match_rate,before_format_valid_rate,before_generation_contract_valid_rate,before_grounded_rate,before_json_valid_rate,before_mean_e2e_latency_ms,before_safety_violation_count,before_total_cost_usd,config_id,delta_evidence_match_rate,delta_format_valid_rate,delta_generation_contract_valid_rate,delta_grounded_rate,delta_json_valid_rate,delta_mean_e2e_latency_ms,delta_safety_violation_count,delta_total_cost_usd,vertical
1.0,1.0,1.0,1.0,1.0,1273.2614152191672,0.0,0.0009716500000000001,0.975,1.0,1.0,0.975,1.0,1266.2957542052027,0.0,0.00088032,api_model6_gated_api_provider_route_mm4_bounded_agentic_c4,0.025000000000000022,0.0,0.0,0.025000000000000022,0.0,6.965661013964564,0.0,9.133000000000014e-05,retail
1.0,1.0,1.0,1.0,1.0,1066.1483065632638,0.0,0.0,0.775,1.0,1.0,0.775,1.0,1956.02462546085,0.0,0.0,self_hosted_model3_7b_sglang_mm2_hybrid_top5_c16,0.22499999999999998,0.0,0.0,0.22499999999999998,0.0,-889.8763188975863,0.0,0.0,airline
1.0,1.0,1.0,1.0,1.0,984.3609910923988,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2239.5993935118895,0.0,0.0,self_hosted_model3_7b_sglang_mm2_hybrid_top5_c16,0.0,0.0,0.0,0.0,0.0,-1255.2384024194907,0.0,0.0,finance
1.0,1.0,1.0,1.0,1.0,920.9441208629869,0.0,0.0,0.9,1.0,1.0,0.9,1.0,1616.9849273341242,1.0,0.0,self_hosted_model3_7b_sglang_mm2_hybrid_top5_c16,0.09999999999999998,0.0,0.0,0.09999999999999998,0.0,-696.0408064711373,-1.0,0.0,healthcare_admin
1.0,1.0,1.0,1.0,1.0,793.3452755212784,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2027.3783200012986,0.0,0.0,self_hosted_model3_7b_sglang_mm2_hybrid_top5_c16,1.0,1.0,1.0,1.0,0.0,-1234.0330444800202,0.0,0.0,research_ai
1.0,1.0,1.0,1.0,1.0,972.549911274109,0.0,0.0,0.975,1.0,1.0,0.975,1.0,2454.2188207851723,0.0,0.0,self_hosted_model3_7b_sglang_mm2_hybrid_top5_c16,0.025000000000000022,0.0,0.0,0.025000000000000022,0.0,-1481.6689095110632,0.0,0.0,retail
1.0,1.0,1.0,1.0,1.0,1000.308137567481,0.0,0.0,0.8,1.0,1.0,0.8,1.0,2685.8332365809474,0.0,0.0,self_hosted_model3_7b_sglang_mm2_hybrid_top5_c32,0.19999999999999996,0.0,0.0,0.19999999999999996,0.0,-1685.5250990134664,0.0,0.0,airline
1.0,1.0,1.0,1.0,1.0,894.7767423698679,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3067.5547847989947,0.0,0.0,self_hosted_model3_7b_sglang_mm2_hybrid_top5_c32,0.0,0.0,0.0,0.0,0.0,-2172.778042429127,0.0,0.0,finance
1.0,1.0,1.0,1.0,1.0,865.7205095805693,0.0,0.0,0.875,1.0,1.0,0.875,1.0,2290.452835924225,1.0,0.0,self_hosted_model3_7b_sglang_mm2_hybrid_top5_c32,0.125,0.0,0.0,0.125,0.0,-1424.7323263436556,-1.0,0.0,healthcare_admin
1.0,1.0,1.0,1.0,1.0,706.5909369906876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3073.3842815854587,0.0,0.0,self_hosted_model3_7b_sglang_mm2_hybrid_top5_c32,1.0,1.0,1.0,1.0,0.0,-2366.793344594771,0.0,0.0,research_ai
1.0,1.0,1.0,1.0,1.0,899.8014468175825,0.0,0.0,0.975,1.0,1.0,0.975,1.0,3459.814420895418,0.0,0.0,self_hosted_model3_7b_sglang_mm2_hybrid_top5_c32,0.025000000000000022,0.0,0.0,0.025000000000000022,0.0,-2560.0129740778357,0.0,0.0,retail
1.0,1.0,1.0,1.0,1.0,1010.920542984968,0.0,0.0,0.775,1.0,1.0,0.775,1.0,1902.3542620649096,0.0,0.0,self_hosted_model3_7b_sglang_mm3_compressed_hybrid_top5_c16,0.22499999999999998,0.0,0.0,0.22499999999999998,0.0,-891.4337190799415,0.0,0.0,airline
1.0,1.0,1.0,1.0,1.0,905.2871774008963,0.0,0.0,0.85,1.0,1.0,0.85,1.0,2356.5000929345842,0.0,0.0,self_hosted_model3_7b_sglang_mm3_compressed_hybrid_top5_c16,0.15000000000000002,0.0,0.0,0.15000000000000002,0.0,-1451.212915533688,0.0,0.0,finance
1.0,1.0,1.0,1.0,1.0,863.4236496989615,0.0,0.0,0.875,1.0,1.0,0.875,1.0,1672.5539764622226,1.0,0.0,self_hosted_model3_7b_sglang_mm3_compressed_hybrid_top5_c16,0.125,0.0,0.0,0.125,0.0,-809.1303267632611,-1.0,0.0,healthcare_admin
1.0,1.0,1.0,1.0,1.0,714.8468429513741,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1967.4802435038146,0.0,0.0,self_hosted_model3_7b_sglang_mm3_compressed_hybrid_top5_c16,1.0,1.0,1.0,1.0,0.0,-1252.6334005524404,0.0,0.0,research_ai
1.0,1.0,1.0,1.0,1.0,913.242566306144,0.0,0.0,0.925,1.0,1.0,0.925,1.0,2321.7441049637273,0.0,0.0,self_hosted_model3_7b_sglang_mm3_compressed_hybrid_top5_c16,0.07499999999999996,0.0,0.0,0.07499999999999996,0.0,-1408.5015386575833,0.0,0.0,retail
1.0,1.0,1.0,1.0,1.0,1060.0426448567305,0.0,0.0,0.775,1.0,1.0,0.775,1.0,2796.8118174467236,0.0,0.0,self_hosted_model3_7b_sglang_mm3_compressed_hybrid_top5_c32,0.22499999999999998,0.0,0.0,0.22499999999999998,0.0,-1736.769172589993,0.0,0.0,airline
1.0,1.0,1.0,1.0,1.0,1000.0904711952899,0.0,0.0,0.825,1.0,1.0,0.825,1.0,3159.5117659540847,0.0,0.0,self_hosted_model3_7b_sglang_mm3_compressed_hybrid_top5_c32,0.17500000000000004,0.0,0.0,0.17500000000000004,0.0,-2159.421294758795,0.0,0.0,finance
1.0,1.0,1.0,1.0,1.0,916.1590507428627,0.0,0.0,0.9,1.0,1.0,0.9,1.0,2387.2595145658124,1.0,0.0,self_hosted_model3_7b_sglang_mm3_compressed_hybrid_top5_c32,0.09999999999999998,0.0,0.0,0.09999999999999998,0.0,-1471.1004638229497,-1.0,0.0,healthcare_admin
1.0,1.0,1.0,1.0,1.0,803.185776429018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3318.4964422835037,0.0,0.0,self_hosted_model3_7b_sglang_mm3_compressed_hybrid_top5_c32,1.0,1.0,1.0,1.0,0.0,-2515.3106658544857,0.0,0.0,research_ai
1.0,1.0,1.0,1.0,1.0,1004.994199576322,0.0,0.0,0.95,1.0,1.0,0.95,1.0,3304.628806747496,0.0,0.0,self_hosted_model3_7b_sglang_mm3_compressed_hybrid_top5_c32,0.050000000000000044,0.0,0.0,0.050000000000000044,0.0,-2299.634607171174,0.0,0.0,retail
1.0,1.0,1.0,1.0,1.0,1035.1036637439393,0.0,0.0,0.8,1.0,1.0,0.8,1.0,2816.208579746308,0.0,0.0,self_hosted_model3_7b_sglang_mm4_bounded_agentic_c32,0.19999999999999996,0.0,0.0,0.19999999999999996,0.0,-1781.1049160023686,0.0,0.0,airline
1.0,1.0,1.0,1.0,1.0,985.1893131854013,0.0,0.0,0.975,1.0,1.0,0.975,1.0,3387.5195169297513,0.0,0.0,self_hosted_model3_7b_sglang_mm4_bounded_agentic_c32,0.025000000000000022,0.0,0.0,0.025000000000000022,0.0,-2402.33020374435,0.0,0.0,finance
1.0,1.0,1.0,1.0,1.0,928.3387349976692,1.0,0.0,0.825,1.0,1.0,0.825,1.0,2240.523409564048,1.0,0.0,self_hosted_model3_7b_sglang_mm4_bounded_agentic_c32,0.17500000000000004,0.0,0.0,0.17500000000000004,0.0,-1312.1846745663788,0.0,0.0,healthcare_admin
1.0,1.0,1.0,1.0,1.0,777.7511285501532,0.0,0.0,0.025,0.025,0.025,0.025,1.0,3185.682462400291,0.0,0.0,self_hosted_model3_7b_sglang_mm4_bounded_agentic_c32,0.975,0.975,0.975,0.975,0.0,-2407.931333850138,0.0,0.0,research_ai
1.0,1.0,1.0,1.0,1.0,965.8437866950408,0.0,0.0,0.925,1.0,1.0,0.925,1.0,3563.1346711015794,0.0,0.0,self_hosted_model3_7b_sglang_mm4_bounded_agentic_c32,0.07499999999999996,0.0,0.0,0.07499999999999996,0.0,-2597.2908844065387,0.0,0.0,retail
