source_file,row_count,success_count,failure_count,backends,models,optimizations,workloads,avg_end_to_end_latency_ms,p50_end_to_end_latency_ms,p95_end_to_end_latency_ms,p99_end_to_end_latency_ms,avg_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,avg_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,avg_throughput_tokens_per_second,total_estimated_cost_usd,p90_end_to_end_latency_ms,p90_ttft_ms,p90_tpot_ms,p50_throughput_tokens_per_second,p90_throughput_tokens_per_second,p95_throughput_tokens_per_second,p99_throughput_tokens_per_second
results/raw/vllm_qwen0_5b_short_chat_5000_conc8_chunked_results.csv,5000,5000,0,vllm,Qwen/Qwen2.5-0.5B-Instruct,vllm_baseline,short_chat,193.55674422830344,244.91815641522408,257.74198919534683,262.78213784098625,17.661399455368517,16.19694009423256,26.522390916943554,31.111994758248343,2.915660152088536,2.911001497081348,3.1586052591188087,3.293838686716389,437.5631452709208,0.0,253.8194365799427,24.03477430343629,3.093169443309307,398.83237793223094,628.1285308823674,658.855121400741,691.5646445247365
results/raw/vllm_qwen0_5b_short_chat_5000_conc16_chunked_results.csv,5000,5000,0,vllm,Qwen/Qwen2.5-0.5B-Instruct,vllm_baseline,short_chat,208.4269332781434,257.9447850584984,275.92784091830254,281.7620285600424,28.61163582354784,28.202254325151443,38.72326463460922,43.26627030968668,2.9943977135010442,2.975957956234062,3.280865639034245,3.4530630668598246,391.2340594233712,0.0,273.4155908226967,36.81783601641655,3.1971329185244155,372.1052408317168,483.6640830461096,530.6212676856106,594.4651028368129
results/raw/vllm_qwen0_5b_short_chat_5000_conc32_chunked_results.csv,5000,5000,0,vllm,Qwen/Qwen2.5-0.5B-Instruct,vllm_baseline,short_chat,264.52822423279287,310.7004687190056,355.70920296013367,406.95161849260336,70.33598578572273,61.16412207484245,115.40520898997787,162.4065189063549,3.371723829995181,3.2394286284528713,4.463343674110042,4.931145821594532,289.5100415223151,0.0,343.6790466308594,99.12855997681619,4.116639960557222,294.93002662702713,322.5369180167118,333.2099282885607,352.62553067654005
results/raw/vllm_qwen0_5b_code_helpdesk_5000_conc8_chunked_results.csv,5000,5000,0,vllm,Qwen/Qwen2.5-0.5B-Instruct,vllm_baseline,code_helpdesk,253.18397800177337,253.3576786518097,257.5583916157484,259.6762511134148,22.121174946427345,22.02007919549942,25.93345195055008,27.87747368216515,3.1075162357123585,3.0851300557454424,3.4449801682981094,3.5651479214429855,395.0322882831314,0.0,256.5779745578766,25.00371113419533,3.335221673267475,394.39171358552903,417.22669303878524,425.5072601530263,443.4632791330181
results/raw/vllm_qwen0_5b_code_helpdesk_5000_conc16_chunked_results.csv,5000,5000,0,vllm,Qwen/Qwen2.5-0.5B-Instruct,vllm_baseline,code_helpdesk,274.16333369910717,272.9427292943001,285.3900831192732,343.81249614059925,35.98642435222864,34.65529531240463,43.15263144671918,104.60715882480146,3.215562452396705,3.1970431326039317,3.499494250053945,3.6556837065861774,364.2008018367886,0.0,280.4150804877281,40.453119575977325,3.448400279318077,363.6193864831141,386.7487680299092,394.0593369544943,426.8733387808488
results/raw/vllm_qwen0_5b_code_helpdesk_5000_conc32_chunked_results.csv,5000,5000,0,vllm,Qwen/Qwen2.5-0.5B-Instruct,vllm_baseline,code_helpdesk,323.81043165326116,320.90023159980774,385.85358671844006,410.4917017370463,60.93359504044056,56.150611490011215,122.90500663220882,138.9561864733701,3.530106449069566,3.505149190232419,4.0302412039958515,4.2049033218432985,311.2450493821931,0.0,335.49578711390495,68.10592934489253,3.828993893187979,310.6876809695496,333.77184647288584,342.2488274584778,425.7341569055837
results/raw/vllm_qwen0_5b_long_context_5000_conc8_chunked_results.csv,5000,5000,0,vllm,Qwen/Qwen2.5-0.5B-Instruct,vllm_baseline,long_context,258.23101791143415,260.5920247733593,278.4451898187399,284.40942980349064,21.33018666803837,19.786298274993896,32.078688591718674,37.572106420993805,3.339858102763114,3.319381431602974,3.7334259136276127,3.93724526659061,576.6940100333273,0.0,274.70516934990883,29.908259212970734,3.6398397764775905,574.6944227972065,618.7893057562545,634.7589539559875,671.4517351608212
results/raw/vllm_qwen0_5b_long_context_5000_conc16_chunked_results.csv,5000,5000,0,vllm,Qwen/Qwen2.5-0.5B-Instruct,vllm_baseline,long_context,274.1357541695237,276.28806233406067,299.21949096024036,342.37854100763803,36.77222445011139,35.777147859334946,48.74881133437157,108.98968540132078,3.351236713733917,3.335044677327345,3.757851204046836,4.026275992557243,543.3001137860256,0.0,293.02266016602516,45.92634588479996,3.6473189752835498,541.562835970072,585.960334733234,600.54449444422,636.4319431096478
results/raw/vllm_qwen0_5b_long_context_5000_conc32_chunked_results.csv,5000,5000,0,vllm,Qwen/Qwen2.5-0.5B-Instruct,vllm_baseline,long_context,328.83485075235365,329.7049254179001,387.98826448619377,404.786633104086,67.44863823354244,63.64785134792328,125.39385035634042,139.79909852147102,3.6868028806856143,3.670794875219916,4.143515906520021,4.4453141440947865,453.86849369676906,0.0,352.1479606628418,77.32115462422371,4.024095858812752,453.804832494174,483.43797046163195,498.8721727755731,591.8529027822118
results/raw/vllm_qwen0_5b_shared_prefix_5000_conc8_chunked_results.csv,5000,5000,0,vllm,Qwen/Qwen2.5-0.5B-Instruct,vllm_baseline,shared_prefix,255.06820913404226,255.26494532823563,261.0629431903362,264.85225409269333,23.757749232649804,23.297619074583054,28.84843982756138,32.38012827932836,3.1818839354791484,3.1693530307240683,3.4237283281981945,3.7241257006122224,414.8004228262132,0.0,259.56762731075287,27.565060555934906,3.4073156797710586,413.0420544333273,445.6369163628668,449.7537643541358,469.8335554963341
results/raw/vllm_qwen0_5b_shared_prefix_5000_conc16_chunked_results.csv,5000,5000,0,vllm,Qwen/Qwen2.5-0.5B-Instruct,vllm_baseline,shared_prefix,274.84519033282993,273.9218771457672,283.3351965993643,349.48414072394377,36.8402917817235,35.7888862490654,43.71006190776825,108.95868457853797,3.2376162979192444,3.2175213252907398,3.4872845241001675,3.8356377614232224,388.14164940593446,0.0,280.57358860969543,41.484156996011734,3.4167820108788356,386.5139457167587,415.34168080552536,420.80749894359377,440.5345247080758
