backend_type,concurrency,config_id,engine,evidence_match_rate,generation_contract_valid_rate,gpu_telemetry_scope,grounded_rate,json_valid_rate,mean_e2e_latency_ms,mean_total_tokens_per_second,mean_tpot_ms,mean_ttft_ms,memory_mode,model_alias,model_id,requests_attempted,requests_completed,requests_failed,runtime,safety_violation_count,status,total_cost_usd,total_input_tokens,total_output_tokens
self_hosted_gpu,16,self_hosted_model3_7b_sglang_mm2_hybrid_top5_c16,sglang,0.674,0.7781,self_hosted_gpu,0.6533,0.9996,1580.0068671637914,614.6013803140698,41.97829402979941,144.24406577791086,mm2_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,sglang,180,COMPLETED,0.0,8468038,359300
self_hosted_gpu,32,self_hosted_model3_7b_sglang_mm2_hybrid_top5_c32,sglang,0.6735,0.7785,self_hosted_gpu,0.653,0.9995,2137.6214311238473,473.6535926832267,53.68995223299407,304.0187856692355,mm2_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,sglang,177,COMPLETED,0.0,8468038,359546
self_hosted_gpu,16,self_hosted_model3_7b_sglang_mm3_compressed_hybrid_top5_c16,sglang,0.6666,0.7774,self_hosted_gpu,0.645,0.9994,1581.096850817767,615.0635508920531,41.88602375867746,148.900809203228,mm3_compressed_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,sglang,161,COMPLETED,0.0,8468038,359765
self_hosted_gpu,32,self_hosted_model3_7b_sglang_mm3_compressed_hybrid_top5_c32,sglang,0.6735,0.7784,self_hosted_gpu,0.653,0.9987,2139.5405427216538,469.39031174461917,53.3898446923157,319.1842856069328,mm3_compressed_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,sglang,167,COMPLETED,0.0,8468038,359780
self_hosted_gpu,16,self_hosted_model3_7b_sglang_mm4_bounded_agentic_c16,sglang,0.6489,0.7971,self_hosted_gpu,0.6454,0.9946,1576.9587909614668,656.5488384241138,45.41423606801813,163.74819513750262,mm4_bounded_agentic,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,sglang,90,COMPLETED,0.0,8918038,322081
self_hosted_gpu,32,self_hosted_model3_7b_sglang_mm4_bounded_agentic_c32,sglang,0.6499,0.7976,self_hosted_gpu,0.6468,0.9943,2157.2594251903915,499.1863934308827,59.03592484942225,327.6429359963862,mm4_bounded_agentic,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,sglang,93,COMPLETED,0.0,8918038,322312
api_provider,4,api_model6_gated_api_provider_route_mm0_no_context_c4,api_provider_route,0.3354,0.7694,not_applicable_api_provider,0.3323,0.9992,1066.4001555971104,394.75510340458754,18.48864538161993,751.2308484320296,mm0_no_context,model6_gated,meta-llama/Llama-3.1-8B-Instruct,10000,10000,0,api_provider_route,0,COMPLETED,0.08808541999999844,3918541,194292
api_provider,4,api_model6_gated_api_provider_route_mm1_dense_top5_c4,api_provider_route,0.881,0.8745,not_applicable_api_provider,0.7794,0.9976,1342.402708740509,681.358385014994,14.017035042885173,811.6972519941395,mm1_dense_top5,model6_gated,meta-llama/Llama-3.1-8B-Instruct,10000,10000,0,api_provider_route,193,COMPLETED,0.18907921000000155,8468038,394369
api_provider,4,api_model6_gated_api_provider_route_mm2_hybrid_top5_c4,api_provider_route,0.8812,0.8758,not_applicable_api_provider,0.7806,0.9969,1376.4401959255338,667.0109427426961,14.464631301805296,829.2297982127872,mm2_hybrid_top5,model6_gated,meta-llama/Llama-3.1-8B-Instruct,10000,10000,0,api_provider_route,193,COMPLETED,0.18906441000000063,8468038,394073
api_provider,4,api_model6_gated_api_provider_route_mm3_compressed_hybrid_top5_c4,api_provider_route,0.8826,0.8794,not_applicable_api_provider,0.7836,0.9978,1306.2797759133857,694.039113439997,14.239425299968506,764.2327626355458,mm3_compressed_hybrid_top5,model6_gated,meta-llama/Llama-3.1-8B-Instruct,10000,10000,0,api_provider_route,184,COMPLETED,0.18914321000000253,8468038,395649
api_provider,4,api_model6_gated_api_provider_route_mm4_bounded_agentic_c4,api_provider_route,0.8885,0.9736,not_applicable_api_provider,0.8769,0.9979,1179.709203312546,815.1724193214586,15.203812619345623,565.2950488413684,mm4_bounded_agentic,model6_gated,meta-llama/Llama-3.1-8B-Instruct,10000,10000,0,api_provider_route,235,COMPLETED,0.199564510000001,8918038,424075
