config_id,evidence_match_rate,failure_count,format_valid_rate,generation_contract_valid_rate,grounded_rate,json_valid_rate,mean_e2e_latency_ms,request_count,safety_violation_count,success_count,total_cost_usd,vertical
self_hosted_model3_7b_sglang_mm4_bounded_agentic_c32,1.0,0,1.0,1.0,1.0,1.0,3563.1346711015794,40,0,40,0.0,retail
self_hosted_model3_7b_vllm_mm2_hybrid_top5_c32,1.0,0,1.0,1.0,1.0,1.0,2676.016449055169,40,0,40,0.0,airline
self_hosted_model3_7b_vllm_mm2_hybrid_top5_c32,1.0,0,1.0,1.0,1.0,1.0,3025.1769983558916,40,0,40,0.0,finance
self_hosted_model3_7b_vllm_mm2_hybrid_top5_c32,1.0,0,1.0,1.0,1.0,1.0,2231.303357478464,40,0,40,0.0,healthcare_admin
self_hosted_model3_7b_vllm_mm2_hybrid_top5_c32,1.0,0,1.0,1.0,1.0,1.0,3108.326398889767,40,0,40,0.0,research_ai
self_hosted_model3_7b_vllm_mm2_hybrid_top5_c32,1.0,0,1.0,1.0,1.0,1.0,3075.5343381955754,40,0,40,0.0,retail
self_hosted_model3_7b_vllm_mm3_compressed_hybrid_top5_c32,1.0,0,1.0,1.0,1.0,1.0,2741.0122840024997,40,0,40,0.0,airline
self_hosted_model3_7b_vllm_mm3_compressed_hybrid_top5_c32,1.0,0,1.0,1.0,1.0,1.0,3270.345649891533,40,0,40,0.0,finance
self_hosted_model3_7b_vllm_mm3_compressed_hybrid_top5_c32,1.0,0,1.0,1.0,1.0,1.0,2367.1963442699052,40,0,40,0.0,healthcare_admin
self_hosted_model3_7b_vllm_mm3_compressed_hybrid_top5_c32,1.0,0,1.0,1.0,1.0,1.0,3083.343235705979,40,0,40,0.0,research_ai
self_hosted_model3_7b_vllm_mm3_compressed_hybrid_top5_c32,1.0,0,1.0,1.0,1.0,1.0,3738.291836733697,40,0,40,0.0,retail
self_hosted_model3_7b_vllm_mm4_bounded_agentic_c32,1.0,0,1.0,1.0,1.0,1.0,2745.313172333408,40,0,40,0.0,airline
self_hosted_model3_7b_vllm_mm4_bounded_agentic_c32,1.0,0,1.0,1.0,1.0,1.0,3459.435561747523,40,0,40,0.0,finance
self_hosted_model3_7b_vllm_mm4_bounded_agentic_c32,1.0,0,1.0,1.0,1.0,1.0,2197.3024292034097,40,0,40,0.0,healthcare_admin
self_hosted_model3_7b_vllm_mm4_bounded_agentic_c32,1.0,0,1.0,1.0,1.0,1.0,2786.753885127837,40,0,40,0.0,research_ai
self_hosted_model3_7b_vllm_mm4_bounded_agentic_c32,1.0,0,1.0,1.0,1.0,1.0,3268.431236076867,40,0,40,0.0,retail
