ablation_mode,memory_mode,vertical,reranker_backend,feature_count,forbidden_feature_count,train_records,dev_records,test_records,dev_recall_at_5,test_recall_at_5,candidate_recall_at_100,calibrated_weights_version
prompt_plus_source_hints,mm3_compressed_hybrid_top5,research_ai,calibrated_linear,17,0,1733,399,368,0.975311,0.964087,0.9808,phase3_block12_v1
prompt_plus_source_hints,mm3_compressed_hybrid_top5,retail,calibrated_linear,17,0,1729,358,413,0.945531,0.947942,0.9534,phase3_block12_v1
prompt_text_only,mm0_no_context,airline,calibrated_linear,14,0,1775,349,376,0.0,0.0,0.0,phase3_block12_v1
prompt_text_only,mm0_no_context,finance,calibrated_linear,14,0,1795,371,334,0.0,0.0,0.0,phase3_block12_v1
prompt_text_only,mm0_no_context,healthcare_admin,calibrated_linear,14,0,1729,391,380,0.0,0.0,0.0,phase3_block12_v1
prompt_text_only,mm0_no_context,research_ai,calibrated_linear,14,0,1733,399,368,0.0,0.0,0.0,phase3_block12_v1
prompt_text_only,mm0_no_context,retail,calibrated_linear,14,0,1729,358,413,0.0,0.0,0.0,phase3_block12_v1
prompt_text_only,mm1_dense_top5,airline,calibrated_linear,14,0,1775,349,376,0.544651,0.537234,0.6062,phase3_block12_v1
prompt_text_only,mm1_dense_top5,finance,calibrated_linear,14,0,1795,371,334,0.146226,0.152695,0.5401,phase3_block12_v1
prompt_text_only,mm1_dense_top5,healthcare_admin,calibrated_linear,14,0,1729,391,380,0.717818,0.750877,0.759867,phase3_block12_v1
prompt_text_only,mm1_dense_top5,research_ai,calibrated_linear,14,0,1733,399,368,0.273485,0.280471,0.759568,phase3_block12_v1
prompt_text_only,mm1_dense_top5,retail,calibrated_linear,14,0,1729,358,413,0.163873,0.143664,0.5396,phase3_block12_v1
prompt_text_only,mm2_hybrid_top5,airline,calibrated_linear,14,0,1775,349,376,0.707975,0.659574,0.744667,phase3_block12_v1
prompt_text_only,mm2_hybrid_top5,finance,calibrated_linear,14,0,1795,371,334,0.157008,0.169162,0.58,phase3_block12_v1
prompt_text_only,mm2_hybrid_top5,healthcare_admin,calibrated_linear,14,0,1729,391,380,0.803922,0.829825,0.824067,phase3_block12_v1
prompt_text_only,mm2_hybrid_top5,research_ai,calibrated_linear,14,0,1733,399,368,0.244802,0.282402,0.76311,phase3_block12_v1
prompt_text_only,mm2_hybrid_top5,retail,calibrated_linear,14,0,1729,358,413,0.198324,0.153349,0.601733,phase3_block12_v1
prompt_text_only,mm3_compressed_hybrid_top5,airline,calibrated_linear,14,0,1775,349,376,0.707975,0.659574,0.744667,phase3_block12_v1
prompt_text_only,mm3_compressed_hybrid_top5,finance,calibrated_linear,14,0,1795,371,334,0.157008,0.169162,0.58,phase3_block12_v1
prompt_text_only,mm3_compressed_hybrid_top5,healthcare_admin,calibrated_linear,14,0,1729,391,380,0.803922,0.829825,0.824067,phase3_block12_v1
prompt_text_only,mm3_compressed_hybrid_top5,research_ai,calibrated_linear,14,0,1733,399,368,0.244802,0.282402,0.76311,phase3_block12_v1
prompt_text_only,mm3_compressed_hybrid_top5,retail,calibrated_linear,14,0,1729,358,413,0.198324,0.153349,0.601733,phase3_block12_v1
