split,memory_mode,vertical,record_count,recall_at_5,mrr,avg_retrieval_latency_ms,avg_context_tokens,gold_evidence_included_count,missing_gold_evidence_count,total_context_rows_selected,distinct_context_rows_used,retrieval_backend_label,compression_ratio,token_reduction_pct,recall_loss,token_reduction
smoke_500,mm1_dense_top5,healthcare_admin,100,0.97,1.0,1.428342,244.44,100,6,500,97,local_fallback,,,,0
smoke_500,mm1_dense_top5,research_ai,100,0.87,1.0,10.041922,283.89,100,39,500,302,local_fallback,,,,0
smoke_500,mm1_dense_top5,retail,100,0.81,0.815,3.743626,283.09,82,28,500,353,local_fallback,,,,0
smoke_500,mm2_hybrid_top5,airline,100,0.98,1.0,16.022364,221.76,100,8,500,79,local_fallback,,,,0
smoke_500,mm2_hybrid_top5,finance,100,1.0,1.0,31.956416,297.94,100,0,500,203,local_fallback,,,,0
smoke_500,mm2_hybrid_top5,healthcare_admin,100,1.0,1.0,13.445702,185.18,100,0,500,59,local_fallback,,,,0
smoke_500,mm2_hybrid_top5,research_ai,100,1.0,1.0,61.63228,343.43,100,0,500,306,local_fallback,,,,0
smoke_500,mm2_hybrid_top5,retail,100,0.975,1.0,39.925592,318.36,100,5,500,186,local_fallback,,,,0
smoke_500,mm3_compressed_hybrid_top5,airline,100,0.98,1.0,16.022364,169.55,100,8,500,79,local_fallback,0.767487,0.232513,0.0,5221
smoke_500,mm3_compressed_hybrid_top5,finance,100,1.0,1.0,31.956416,211.45,100,0,500,203,local_fallback,0.708332,0.291668,0.0,8649
smoke_500,mm3_compressed_hybrid_top5,healthcare_admin,100,1.0,1.0,13.445702,149.58,100,0,500,59,local_fallback,0.81368,0.18632,0.0,3560
smoke_500,mm3_compressed_hybrid_top5,research_ai,100,1.0,1.0,61.63228,244.81,100,0,500,306,local_fallback,0.71222,0.28778,0.0,9862
smoke_500,mm3_compressed_hybrid_top5,retail,100,0.975,1.0,39.925592,227.12,100,5,500,186,local_fallback,0.713029,0.286971,0.0,9124
